kf, avgmse, stdmse, avgmae, stdmae, avgmape, stdmape, avgr2, stdr2, avgacc, stdacc, avgbal_acc, stdbal_acc
1,0.0006797301515980058,0.0002025665214411786,0.02005714732361697,0.002430466259432427,0.029502821311021075,0.003996401299966364,0.5755475600222054,0.12649115841248018,0.68,0.09797958971132716,0.7,0.12472191289246475
2,0.0013792676016349998,0.0005716802453206495,0.0300397779035889,0.0067316369362681325,0.04360836598205463,0.010607425784713903,0.6279914660425401,0.15419047739689848,0.68,0.16,0.7000000000000001,0.19436506316151003
3,0.0010047609178525426,0.00016648094807089592,0.023598864593000472,0.001498658666265384,0.03477125038461691,0.0021923628046901637,0.33529611045026797,0.11013618439216787,0.64,0.08000000000000003,0.6666666666666666,0.10540925533894599
4,0.0011841306943361353,0.00028103667120354204,0.027749150886132813,0.0033591891493039597,0.039611168194190804,0.004800090780503574,0.5980726397281124,0.09539177384449553,0.68,0.09797958971132716,0.7,0.12472191289246475
5,0.0004269115757680483,0.00015609488351029464,0.017593428137075234,0.0032450436871037376,0.02603073897857409,0.004734399550779729,0.7593977065324399,0.08797322233195676,0.6799999999999999,0.09797958971132717,0.7,0.12472191289246473
6,0.0010769889536407305,0.0002827015051582838,0.02821061164043333,0.003431923885867107,0.04129352220323006,0.004737580711160202,0.3099343774161992,0.18113703905964637,0.4,0.0,0.3666666666666666,0.06666666666666668
7,0.0013795476077317897,0.00031588026394124407,0.03047108629204225,0.005512365609317501,0.04731119773144449,0.008493213628470764,-0.10864026190200213,0.2538495783565444,0.48,0.0979795897113271,0.5666666666666667,0.08164965809277258
8,0.0006369315423458208,0.00011645816017554685,0.019528847120268526,0.002672330755678527,0.028476120548047035,0.004328191142723006,0.7021431880055411,0.05446088631891734,0.68,0.09797958971132716,0.6333333333333333,0.12472191289246472
